" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Sun Nov  1 22:45:13 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 167 , 759  , 911  
 Last Row , 1 , 164 , 756 , 906 , 1500 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
    54,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    55,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    56,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    57,    0.0,        0.0,        0.0,     -4.67347e-04,  4.55930e-05,  4.34457e-06,
    58,  7.38037e-05,  6.72669e-04, -1.63671e-02, -2.22281e-04,  3.96980e-04,  5.28249e-06,
    59,  3.57786e-04, -1.28493e-03, -2.89664e-02, -2.80616e-04, -5.25827e-04, -4.55071e-06,
    60,  3.78396e-04, -1.94695e-03, -1.40711e-02, -2.69972e-04, -6.68389e-05, -1.18066e-05,
    61,    0.0,        0.0,        0.0,     -1.72073e-04,  9.01851e-05,  2.91387e-07,
    62, -7.68062e-04,  1.53113e-04, -4.33718e-02, -2.34539e-04,  4.67980e-04,  2.71801e-06,
    63, -4.26501e-03, -1.27350e-03, -5.20931e-02, -2.20654e-04, -4.50361e-04, -9.67832e-06,
    64, -4.14273e-03, -2.79146e-03, -2.53974e-02, -2.10698e-04, -9.11034e-05, -1.84810e-05,
    65,    0.0,        0.0,        0.0,     -2.46949e-04,  1.16198e-04, -1.63998e-07,
    66, -1.10777e-03,  8.18877e-05, -6.47683e-02, -2.36869e-04,  4.90684e-04,  2.00048e-06,
    67, -4.69201e-03, -2.48944e-03, -6.94580e-02, -2.38551e-04, -4.68737e-04, -1.14667e-05,
    68, -4.57447e-03, -4.39443e-03, -3.38518e-02, -2.30558e-04, -6.50496e-05, -2.08787e-05,
    69,    0.0,        0.0,        0.0,     -2.05684e-04,  1.38513e-04,  2.59702e-07,
    70, -1.00331e-03,  5.06752e-05, -8.07116e-02, -2.45997e-04,  5.30242e-04,  3.81591e-08,
    71, -5.53220e-03, -5.20670e-03, -8.11268e-02, -1.61012e-04, -4.50114e-04, -1.07876e-05,
    72, -5.75276e-03, -7.06340e-03, -3.93577e-02, -1.56855e-04, -1.67342e-04, -2.16480e-05,
    73,    0.0,        0.0,        0.0,     -3.15073e-04,  1.38555e-04, -1.11414e-05,
    74, -2.08338e-03, -1.75544e-03, -9.12978e-02, -1.68327e-04,  4.27043e-04, -1.54959e-05,
    75, -2.60607e-02, -1.47434e-03, -8.71085e-02, -6.40956e-04, -1.08267e-03, -9.76577e-06,
    76, -2.62246e-02, -3.34590e-03, -4.18996e-02, -6.20769e-04, -2.64150e-04, -2.07951e-05,
    77,    0.0,        0.0,        0.0,      1.28989e-04,  2.59364e-04,  1.33288e-05,
    78, -6.95135e-04,  2.61294e-03, -9.66469e-02, -6.40864e-04,  1.09463e-03,  3.34783e-05,
    79, -4.53697e-04,  5.23584e-04, -7.65183e-03, -1.73837e-04, -2.03651e-05,  6.88012e-06,
    80, -7.51595e-04, -2.30206e-05, -1.53168e-02, -1.89653e-04, -2.10882e-05,  8.70042e-06,
    81, -1.42999e-03,  7.78512e-04, -2.81164e-02,  5.72284e-05, -1.47326e-05,  8.65869e-06,
    82, -1.53293e-03, -2.44326e-03, -3.32373e-02,  3.04899e-05, -1.18732e-05,  6.47867e-06,
    83, -2.06603e-03,  2.01238e-04, -4.60066e-02, -2.51424e-04, -1.69422e-05,  6.27794e-06,
    84, -2.57243e-03, -6.61477e-04, -5.36688e-02, -2.46635e-04, -1.84968e-05,  8.57525e-06,
    85, -3.33587e-03,  1.18163e-03, -6.39115e-02,  5.15070e-05, -1.87241e-05,  8.11544e-06,
    86, -4.34789e-03, -2.02227e-03, -6.64765e-02,  5.39714e-05, -3.07561e-05,  6.48677e-06,
    87, -5.46213e-03, -3.60571e-04, -7.66880e-02, -2.40664e-04, -2.11193e-05,  6.59119e-06,
    88, -4.61814e-03, -1.27863e-03, -8.43502e-02, -2.41588e-04, -1.10546e-05,  7.19583e-06,
    89, -4.87852e-03,  4.75216e-04, -9.20329e-02,  5.61562e-05, -3.98354e-06,  5.80949e-06,
    90, -6.15780e-03, -2.83051e-03, -9.20396e-02,  5.90693e-05, -4.05301e-07,  7.45472e-06,
    91, -6.07989e-03, -1.58237e-03, -9.96920e-02, -2.21227e-04,  2.56360e-06,  7.88648e-06,
    92, -5.13188e-03, -3.64314e-03, -1.07351e-01, -1.91942e-04, -7.29557e-06,  3.03682e-06,
    93, -5.47724e-03, -4.81007e-03, -1.12470e-01,  1.32450e-04, -1.02661e-05,  2.65546e-06,
    94, -6.08616e-03, -7.36494e-03, -1.09919e-01,  1.03741e-04, -2.17999e-05,  1.27230e-05,
    95, -7.71809e-03, -7.65136e-03, -1.15009e-01, -1.96940e-04, -6.75372e-05,  1.51413e-05,
    96, -6.60750e-03, -1.22384e-02, -1.22660e-01, -2.33888e-04, -1.86733e-05,  1.89274e-06,
    97, -7.74847e-03, -9.20472e-03, -1.25215e-01, -5.78593e-05, -3.81169e-05,  1.66378e-05,
    98, -1.63995e-02, -8.36575e-03, -1.20099e-01, -1.51359e-04, -1.13219e-04,  1.24533e-05,
    99, -2.04008e-02,  7.15983e-03, -1.22620e-01, -7.74924e-04, -7.19479e-05,  1.11093e-05,
   100, -1.22864e-02,  1.58783e-02, -1.30279e-01, -9.09312e-04, -7.46211e-05,  4.61279e-05,
   101,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   102,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   103,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   104,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   105,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   106,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
   107,    0.0,        0.0,        0.0,      2.08029e-04,  4.32225e-05, -5.63269e-06,
   108,  1.48031e-03, -5.78333e-04, -1.50153e-02,  2.19835e-04,  4.15304e-04, -1.03502e-07,
   109,  8.95443e-03,  5.09785e-04, -2.87988e-02,  2.92271e-04, -4.67004e-04, -1.23840e-06,
   110,  8.83480e-03, -1.71233e-04, -1.41077e-02,  2.96742e-04, -5.66818e-06, -7.82148e-06,
   111,    0.0,        0.0,        0.0,      2.36310e-04,  8.55853e-05,  6.76721e-07,
   112,  1.31385e-03,  2.18734e-04, -3.93210e-02,  2.34410e-04,  4.63923e-04,  3.19211e-06,
   113,  9.00489e-03, -1.47512e-03, -5.17684e-02,  2.39516e-04, -4.34362e-04, -9.30482e-06,
   114,  9.10670e-03, -3.01901e-03, -2.54178e-02,  2.39779e-04, -7.61468e-05, -1.71975e-05,
   115,    0.0,        0.0,        0.0,      2.22384e-04,  1.04269e-04,  8.81178e-07,
   116,  1.38965e-03,  1.80158e-04, -5.80202e-02,  2.40711e-04,  4.89667e-04,  1.69347e-06,
   117,  9.06447e-03, -2.80155e-03, -6.89830e-02,  2.59136e-04, -4.66785e-04, -1.12946e-05,
   118,  9.18901e-03, -4.71553e-03, -3.38474e-02,  2.53463e-04, -6.53678e-05, -2.09499e-05,
   119,    0.0,        0.0,        0.0,      2.50450e-04,  1.39232e-04, -2.54308e-06,
   120,  9.34463e-04, -2.96176e-04, -7.12329e-02,  2.52677e-04,  4.73225e-04, -9.58278e-07,
   121,  7.93502e-03, -2.51647e-03, -8.04954e-02,  1.78695e-04, -4.52214e-04, -1.21581e-05,
