" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Sun Nov  1 22:45:13 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 167 , 759  , 911  
 Last Row , 1 , 164 , 756 , 906 , 1500 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
    32,    46,  1.02625e+02,  9.98566e-01,  1.91440e+00,  2.73370e-02, -4.55002e+01, -4.06626e+02,
    32,    47, -1.02306e+02, -9.98566e-01, -1.91440e+00, -2.73370e-02, -3.09990e+01,  4.46130e+02,
    33,    47,  5.16542e+01, -5.91103e+00, -4.91233e-01, -6.56845e-02,  3.24958e+01, -3.70293e+00,
    33,    50, -5.10181e+01,  5.91103e+00,  4.91233e-01,  6.56845e-02,  7.09258e+00, -4.70221e+02,
    34,     4,  5.62191e+02, -4.57127e+00, -3.68539e-01,  1.17071e-01, -1.87591e+01,  2.35107e+02,
    34,    29, -5.62032e+02,  4.57127e+00,  3.68539e-01, -1.17071e-01,  2.60549e+01, -3.25591e+02,
    35,    29,  5.11346e+02, -2.91848e-01,  1.25690e+00,  3.37600e-02, -5.39170e+01, -1.63425e+02,
    35,    32, -5.10710e+02,  2.91848e-01, -1.25690e+00, -3.37600e-02, -4.90769e+01,  1.38853e+02,
    36,    32,  4.59883e+02,  5.74483e-01, -2.71813e+00,  3.57441e-02,  7.68213e+01,  3.39491e+02,
    36,    33, -4.59565e+02, -5.74483e-01,  2.71813e+00, -3.57441e-02,  3.23392e+01, -3.16422e+02,
    37,    33,  4.08742e+02, -5.32246e-02,  5.04089e-01, -7.51334e-03, -1.35966e+01, -1.58083e+02,
    37,    36, -4.08106e+02,  5.32246e-02, -5.04089e-01,  7.51334e-03, -2.65011e+01,  1.54096e+02,
    38,    36,  3.57453e+02, -4.26542e-02, -2.92727e+00,  1.10100e-02,  5.21165e+01,  3.11822e+02,
    38,    37, -3.57135e+02,  4.26542e-02,  2.92727e+00, -1.10100e-02,  6.58473e+01, -3.13418e+02,
    39,    37,  3.06548e+02,  1.27370e-01,  1.35823e+00, -2.55351e-03, -5.64260e+01, -1.49569e+02,
    39,    40, -3.05911e+02, -1.27370e-01, -1.35823e+00,  2.55351e-03, -5.27554e+01,  1.60081e+02,
    40,    40,  2.55423e+02, -2.08795e-01, -3.63673e+00, -7.40088e-03,  6.95178e+01,  2.96338e+02,
    40,    41, -2.55105e+02,  2.08795e-01,  3.63673e+00,  7.40088e-03,  7.65068e+01, -3.04711e+02,
    41,    41,  2.04670e+02, -5.36589e-01,  2.03702e+00, -2.76204e-02, -7.04968e+01, -1.50604e+02,
    41,    44, -2.04033e+02,  5.36589e-01, -2.03702e+00,  2.76204e-02, -9.29669e+01,  1.07999e+02,
    42,    44,  1.53698e+02,  2.32353e+00, -3.36704e+00, -2.01966e-02,  1.05642e+02,  3.42847e+02,
    42,    45, -1.53380e+02, -2.32353e+00,  3.36704e+00,  2.01966e-02,  2.97655e+01, -2.49335e+02,
    43,    45,  1.02983e+02,  4.85855e-01,  8.85956e-02,  5.03775e-02, -8.58137e+00, -1.95711e+02,
    43,    48, -1.02347e+02, -4.85855e-01, -8.85956e-02, -5.03775e-02,  2.30628e+00,  2.34303e+02,
    44,    48,  5.12993e+01, -6.44291e+00, -1.60308e+00,  1.58166e-01,  6.91393e+01,  2.14474e+02,
    44,    49, -5.09813e+01,  6.44291e+00,  5.60308e+00, -1.58166e-01,  7.52764e+01, -4.72593e+02,
    45,     7, -5.14765e+00, -7.57111e-03,  5.06895e+00,  4.77125e-01, -1.05358e+02, -1.51002e-01,
    45,     8,  5.14765e+00,  7.57111e-03,  7.61365e+00, -4.77125e-01,  2.58186e+02, -7.57308e-01,
    46,    11, -1.95312e+00, -9.72665e-03,  6.96765e+00, -1.09893e-01, -2.22517e+02, -3.08741e-01,
    46,    12,  1.95312e+00,  9.72665e-03,  5.71495e+00,  1.09893e-01,  1.47501e+02, -8.58098e-01,
    47,    15, -6.26436e-01, -1.16948e-02,  8.66999e+00,  3.29007e-02, -3.24663e+02, -3.11601e-01,
    47,    16,  6.26436e-01,  1.16948e-02,  4.01261e+00, -3.29007e-02,  4.52905e+01, -1.09169e+00,
    48,    19, -7.63723e-01, -1.05880e-02,  9.86588e+00, -7.54540e-02, -3.94922e+02, -9.18575e-02,
    48,    20,  7.63723e-01,  1.05880e-02,  2.81671e+00,  7.54540e-02, -2.79228e+01, -1.17880e+00,
    49,    23,  6.88834e+00, -1.95153e-02,  1.07651e+01,  2.69902e-01, -4.54603e+02, -1.12738e-01,
    49,    24, -6.88834e+00,  1.95153e-02,  1.91751e+00, -2.69902e-01, -7.73136e+01, -2.22617e+00,
    50,    27, -6.31560e+00,  3.59332e-02,  1.00336e+01, -1.24820e+00, -3.91591e+02,  1.38579e+00,
    50,    28,  6.31560e+00, -3.59332e-02,  2.64899e+00,  1.24820e+00, -5.04685e+01,  2.92142e+00,
    51,     9,  5.67605e-01, -2.37172e-02,  8.17620e+00, -1.38090e-02, -3.06744e+02, -1.30650e+00,
    51,    10, -5.67605e-01,  2.37172e-02,  4.50640e+00,  1.38090e-02,  8.65722e+01, -1.53919e+00,
    52,    13, -9.55383e-01, -2.36385e-02,  6.86773e+00, -9.32662e-03, -2.13744e+02, -1.04651e+00,
    52,    14,  9.55383e-01,  2.36385e-02,  5.81486e+00,  9.32662e-03,  1.50523e+02, -1.79157e+00,
    53,    17, -9.24772e-01, -1.73201e-02,  6.02367e+00, -2.15200e-03, -1.69198e+02, -6.14983e-01,
    53,    18,  9.24772e-01,  1.73201e-02,  6.65893e+00,  2.15200e-03,  2.07250e+02, -1.46520e+00,
    54,    21,  1.37500e+00, -1.25494e-02,  5.49306e+00,  1.97186e-03, -1.21364e+02, -1.86027e-01,
    54,    22, -1.37500e+00,  1.25494e-02,  7.18953e+00, -1.97186e-03,  2.23262e+02, -1.31727e+00,
    55,    25,  1.08617e+00, -2.31661e-02,  9.12468e+00,  1.95701e-03, -4.13243e+02, -1.36092e+00,
    55,    26, -1.08617e+00,  2.31661e-02,  3.55791e+00, -1.95701e-03,  7.93307e+01, -1.41709e+00,
    56,     5,  1.50947e+00, -1.30096e-03,  1.90879e+01,  1.51834e-01, -1.15097e+03, -3.70609e-01,
    56,    29, -1.39571e+00,  1.30096e-03,  1.90154e+01, -1.51834e-01,  1.13789e+03, -1.00891e-01,
    57,    29,  1.88704e+00,      0.0,   1.92031e+01, -2.14563e-02, -1.16572e+03,  2.02461e-01,
    57,    30, -1.77328e+00,      0.0,   1.91113e+01,  2.14563e-02,  1.14905e+03, -1.98915e-01,
    58,    30,  1.02252e+00,  2.42753e-03,  1.93795e+01, -1.30592e-01, -1.18552e+03,  4.40813e-01,
    58,     8, -9.08752e-01, -2.42753e-03,  1.87238e+01,  1.30592e-01,  1.06731e+03,  4.36590e-01,
    59,     8, -6.62379e-01,  2.84695e-04,  1.87783e+01,  1.89094e-01, -1.07700e+03, -4.21073e-02,
    59,    31,  7.76145e-01, -2.84695e-04,  1.93250e+01, -1.89094e-01,  1.17557e+03,  1.44421e-01,
    60,    31, -2.25365e+00, -2.07489e-03,  1.91619e+01, -1.02122e-02, -1.15851e+03, -3.47171e-01,
    60,    32,  2.36742e+00,  2.07489e-03,  1.91524e+01,  1.02122e-02,  1.15682e+03, -4.02445e-01,
    61,    32, -4.20488e+00, -1.02234e-03,  1.94067e+01, -1.82633e-01, -1.18453e+03,  1.34058e-02,
    61,     9,  4.31865e+00,  1.02234e-03,  1.86966e+01,  1.82633e-01,  1.05647e+03, -3.86722e-01,
    62,     9, -1.55840e+00, -2.96906e-03,  1.87308e+01,  1.73301e-01, -1.06358e+03, -6.14775e-01,
    62,    33,  1.67217e+00,  2.96906e-03,  1.93725e+01, -1.73301e-01,  1.17932e+03, -4.57199e-01,
    63,    33, -2.74819e+00, -4.65334e-03,  1.91741e+01,  7.46909e-04, -1.16057e+03, -9.00116e-01,
    63,    34,  2.86196e+00,  4.65334e-03,  1.91403e+01, -7.46909e-04,  1.15447e+03, -7.84295e-01,
    64,    34, -3.91133e+00, -2.72427e-04,  1.93626e+01, -1.77754e-01, -1.17878e+03, -5.64810e-02,
    64,    12,  4.02509e+00,  2.72427e-04,  1.87407e+01,  1.77754e-01,  1.06657e+03, -4.41690e-02,
    65,    12,  6.73983e-01,  2.23566e-04,  1.87833e+01,  1.64844e-01, -1.07446e+03,  6.00283e-02,
    65,    35, -5.60217e-01, -2.23566e-04,  1.93199e+01, -1.64844e-01,  1.17117e+03,  2.11719e-02,
    66,    35, -7.77731e-01, -3.91942e-03,  1.91906e+01, -2.04154e-04, -1.16306e+03, -6.83858e-01,
    66,    36,  8.91497e-01,  3.91942e-03,  1.91238e+01,  2.04154e-04,  1.15097e+03, -7.36605e-01,
    67,    36, -2.18293e+00, -4.30639e-03,  1.93395e+01, -1.69932e-01, -1.17656e+03, -5.40209e-01,
    67,    13,  2.29669e+00,  4.30639e-03,  1.87638e+01,  1.69932e-01,  1.07269e+03, -1.01524e+00,
    68,    13,  1.41187e+00, -4.75467e-03,  1.88052e+01,  1.68889e-01, -1.08007e+03, -1.05958e+00,
    68,    37, -1.29811e+00,  4.75467e-03,  1.92981e+01, -1.68889e-01,  1.16884e+03, -6.53495e-01,
    69,    37, -8.45456e-01, -5.14027e-03,  1.91711e+01,  1.98293e-03, -1.15942e+03, -9.43768e-01,
    69,    38,  9.59222e-01,  5.14027e-03,  1.91432e+01, -1.98293e-03,  1.15438e+03, -9.18993e-01,
    70,    38, -3.32603e+00,  4.85792e-04,  1.93449e+01, -1.75390e-01, -1.17505e+03,  7.42417e-02,
    70,    16,  3.43980e+00, -4.85792e-04,  1.87584e+01,  1.75390e-01,  1.06917e+03,  9.57533e-02,
    71,    16,  2.24517e+00,  1.26482e-03,  1.87890e+01,  1.57825e-01, -1.07504e+03,  2.72457e-01,
    71,    39, -2.13141e+00, -1.26482e-03,  1.93143e+01, -1.57825e-01,  1.16962e+03,  1.88517e-01,
    72,    39, -5.90821e-01, -5.24244e-03,  1.91714e+01,  6.74261e-03, -1.15956e+03, -9.65964e-01,
    72,    40,  7.04587e-01,  5.24244e-03,  1.91430e+01, -6.74261e-03,  1.15441e+03, -9.34289e-01,
    73,    40, -3.55843e+00, -5.52824e-03,  1.93189e+01, -1.68810e-01, -1.17115e+03, -7.37992e-01,
    73,    17,  3.67220e+00,  5.52824e-03,  1.87844e+01,  1.68810e-01,  1.07460e+03, -1.25937e+00,
    74,    17,  2.99626e+00, -4.58500e-03,  1.88126e+01,  1.56572e-01, -1.07993e+03, -1.08000e+00,
    74,    41, -2.88250e+00,  4.58500e-03,  1.92907e+01, -1.56572e-01,  1.16593e+03, -5.69535e-01,
    75,    41, -6.49992e-01, -6.87138e-03,  1.91734e+01,  1.71237e-02, -1.15993e+03, -1.23486e+00,
    75,    42,  7.63758e-01,  6.87138e-03,  1.91410e+01, -1.71237e-02,  1.15407e+03, -1.25510e+00,
    76,    42, -4.17957e+00,  2.50884e-03,  1.93285e+01, -1.77807e-01, -1.17168e+03,  4.93638e-01,
    76,    20,  4.29333e+00, -2.50884e-03,  1.87748e+01,  1.77807e-01,  1.07163e+03,  3.97862e-01,
    77,    20,  2.73016e+00,  4.74916e-03,  1.87985e+01,  1.15976e-01, -1.07614e+03,  8.59254e-01,
    77,    43, -2.61640e+00, -4.74916e-03,  1.93048e+01, -1.15976e-01,  1.16723e+03,  8.65624e-01,
    78,    43, -9.23635e-01, -6.70838e-03,  1.91793e+01,  4.68046e-03, -1.16032e+03, -1.34695e+00,
    78,    44,  1.03740e+00,  6.70838e-03,  1.91351e+01, -4.68046e-03,  1.15230e+03, -1.08340e+00,
    79,    44, -4.30709e+00, -3.91505e-03,  1.92676e+01, -1.23410e-01, -1.16499e+03, -3.99827e-01,
    79,    21,  4.42086e+00,  3.91505e-03,  1.88357e+01,  1.23410e-01,  1.08685e+03, -1.01557e+00,
    80,    21, -1.89116e-01, -7.69846e-03,  1.88272e+01,  1.96512e-01, -1.08702e+03, -1.89662e+00,
    80,    45,  3.02882e-01,  7.69846e-03,  1.92761e+01, -1.96512e-01,  1.16797e+03, -8.78400e-01,
    81,    45, -1.61356e+00, -1.15175e-02,  1.91058e+01, -4.73232e-02, -1.14682e+03, -1.62145e+00,
    81,    46,  1.72732e+00,  1.15175e-02,  1.92085e+01,  4.73232e-02,  1.16544e+03, -2.54582e+00,
    82,    46, -3.08422e+00,  1.44577e-02,  1.92998e+01, -1.51806e-01, -1.16421e+03,  2.64917e+00,
    82,    24,  3.19799e+00, -1.44577e-02,  1.88035e+01,  1.51806e-01,  1.07453e+03,  2.52803e+00,
    83,    24,  1.00465e+01,  8.62964e-03,  1.88074e+01,  3.10024e-01, -1.07639e+03,  1.29783e+00,
    83,    47, -9.93273e+00, -8.62964e-03,  1.92959e+01, -3.10024e-01,  1.16378e+03,  1.88403e+00,
    84,    47,  9.65959e+00, -7.11916e-03,  1.92068e+01, -4.34263e-02, -1.16530e+03, -1.38010e+00,
    84,    48, -9.54583e+00,  7.11916e-03,  1.91075e+01,  4.34263e-02,  1.14729e+03, -1.23423e+00,
    85,    48,  1.00232e+01, -4.63589e-03,  1.97046e+01, -2.67474e-01, -1.21871e+03, -3.74157e-01,
    85,    25, -9.90943e+00,  4.63589e-03,  1.83987e+01,  2.67474e-01,  9.83970e+02, -1.28914e+00,
    86,    25,  1.33536e+01, -5.99861e-04,  1.83956e+01,  1.04725e-01, -9.84124e+02,  2.54597e-01,
    86,    49, -1.32399e+01,  5.99861e-04,  1.97077e+01, -1.04725e-01,  1.21973e+03, -3.55412e-01,
    87,    49,  9.78255e+00,  8.57044e-03,  1.90888e+01,  8.84290e-02, -1.14448e+03,  7.72916e-01,
    87,    50, -9.66879e+00, -8.57044e-03,  1.92256e+01, -8.84290e-02,  1.16926e+03,  2.42156e+00,
    88,    50,  1.13358e+01, -2.42372e-02,  1.92974e+01, -1.93422e-01, -1.16216e+03, -4.44287e+00,
    88,    28, -1.12220e+01,  2.42372e-02,  1.88059e+01,  1.93422e-01,  1.07431e+03, -4.44913e+00,
    89,    51,  2.38568e-01,  1.24819e+01, -1.21760e+00, -2.34824e-02,  1.84338e+01,  1.88962e+02,
    89,    57,  2.38568e-01, -1.24819e+01,  1.21760e+00,  2.34824e-02,  5.46224e+01,  5.59955e+02,
    90,    57,  4.77137e-01,  5.65733e+00, -1.20118e+00,  1.09537e-02,  6.32223e+01,  3.98039e+02,
    90,    61,  4.77137e-01, -5.65733e+00,  1.20118e+00, -1.09537e-02,  8.09193e+01,  2.80841e+02,
    91,    61,  4.77137e-01,  3.70734e+00, -1.82579e+00,  1.23068e-03,  1.04386e+02,  2.07581e+02,
    91,    65,  4.77137e-01, -3.70734e+00,  1.82579e+00, -1.23068e-03,  1.14709e+02,  2.37300e+02,
    92,    65,  4.77137e-01,  4.00471e+00, -2.25333e+00, -1.14505e-03,  1.30772e+02,  2.48472e+02,
    92,    69,  4.77137e-01, -4.00471e+00,  2.25333e+00,  1.14505e-03,  1.39628e+02,  2.32093e+02,
    93,    69,  4.77137e-01,  4.60745e+00, -2.45112e+00,  3.08115e-02,  1.47059e+02,  2.54738e+02,
    93,    73,  4.77137e-01, -4.60745e+00,  2.45112e+00, -3.08115e-02,  1.47076e+02,  2.98156e+02,
    94,    73,  4.77137e-01,  1.64640e+00, -3.52025e+00, -6.61308e-02,  1.87242e+02,  1.86911e+02,
    94,    77,  4.77137e-01, -1.64640e+00,  3.52025e+00,  6.61308e-02,  2.35187e+02,  1.06571e+01,
    95,    52,  2.22531e+02,  5.33833e+00, -1.05323e+01, -2.85519e-02,  1.58855e+02,  7.20959e+01,
    95,    58, -2.22054e+02, -5.33833e+00,  1.05323e+01,  2.85519e-02,  4.73067e+02,  2.48054e+02,
    96,    58,  1.83861e+02,  4.11079e+00, -7.76201e+00,  6.93051e-03,  4.51839e+02,  2.44285e+02,
    96,    62, -1.82907e+02, -4.11079e+00,  7.76201e+00, -6.93051e-03,  4.79756e+02,  2.49105e+02,
    97,    62,  1.45778e+02,  4.17578e+00, -8.51949e+00,  1.93914e-03,  5.06722e+02,  2.50093e+02,
    97,    66, -1.44823e+02, -4.17578e+00,  8.51949e+00, -1.93914e-03,  5.15666e+02,  2.51011e+02,
    98,    66,  1.08745e+02,  4.27262e+00, -9.00768e+00,  5.30316e-03,  5.32648e+02,  2.54557e+02,
    98,    70, -1.07791e+02, -4.27262e+00,  9.00768e+00, -5.30316e-03,  5.48262e+02,  2.58160e+02,
    99,    70,  7.23668e+01,  3.92848e+00, -8.62178e+00,  4.19809e-02,  5.37749e+02,  2.51132e+02,
    99,    74, -7.14125e+01, -3.92848e+00,  8.62178e+00, -4.19809e-02,  4.96942e+02,  2.20416e+02,
   100,    74,  3.68018e+01,  6.51443e+00, -1.32531e+01, -1.32353e-01,  6.62933e+02,  2.97180e+02,
   100,    78, -3.58475e+01, -6.51443e+00,  1.32531e+01,  1.32353e-01,  9.27390e+02,  4.84393e+02,
   101,    55,  1.97183e+02,  2.66542e+00,  4.69565e+00,  1.22983e-02, -1.78467e+02,  1.04914e+02,
   101,    59, -1.96229e+02, -2.66542e+00, -4.69565e+00, -1.22983e-02, -3.85081e+02,  2.15190e+02,
   102,    59,  1.57527e+02,  4.42711e+00,  7.94920e+00,  1.38574e-02, -4.91445e+02,  2.77431e+02,
   102,    63, -1.56572e+02, -4.42711e+00, -7.94920e+00, -1.38574e-02, -4.61733e+02,  2.53820e+02,
   103,    63,  1.18400e+02,  4.23648e+00,  8.05984e+00,  4.83314e-03, -4.79940e+02,  2.50730e+02,
   103,    67, -1.17445e+02, -4.23648e+00, -8.05984e+00, -4.83314e-03, -4.87189e+02,  2.57791e+02,
   104,    67,  7.97179e+01,  3.93127e+00,  7.99971e+00, -1.83529e-03, -4.83630e+02,  2.51310e+02,
   104,    71, -7.87636e+01, -3.93127e+00, -7.99971e+00,  1.83529e-03, -4.76269e+02,  2.20657e+02,
   105,    71,  4.10978e+01,  6.54399e+00,  1.05362e+01, -2.76152e-03, -5.06496e+02,  2.97511e+02,
   105,    75, -4.01435e+01, -6.54399e+00, -1.05362e+01,  2.76152e-03, -7.57020e+02,  4.87617e+02,
   106,    56,  9.60317e+01,  2.67185e+00,  6.46234e-01,  3.19073e-02, -2.55930e+01,  1.07084e+02,
   106,    60, -9.50775e+01, -2.67185e+00, -6.46234e-01, -3.19073e-02, -5.19913e+01,  2.13724e+02,
   107,    60,  7.73919e+01,  4.37374e+00,  7.33038e-01,  1.80375e-02, -3.90122e+01,  2.74175e+02,
   107,    64, -7.64376e+01, -4.37374e+00, -7.33038e-01, -1.80375e-02, -4.86046e+01,  2.50739e+02,
   108,    64,  5.78898e+01,  4.13753e+00,  1.31730e+00,  6.47987e-03, -8.41803e+01,  2.44368e+02,
   108,    68, -5.69355e+01, -4.13753e+00, -1.31730e+00, -6.47987e-03, -7.38704e+01,  2.52228e+02,
   109,    68,  3.78668e+01,  3.81912e+00,  1.88189e+00,  2.07906e-03, -9.26314e+01,  2.43797e+02,
   109,    72, -3.69125e+01, -3.81912e+00, -1.88189e+00, -2.07906e-03, -1.33151e+02,  2.14598e+02,
   110,    72,  1.77389e+01,  6.33146e+00,  8.01628e-01, -2.30493e-03, -2.87278e+01,  2.87869e+02,
   110,    76, -1.67846e+01, -6.33146e+00, -8.01628e-01,  2.30493e-03, -6.71141e+01,  4.71843e+02,
   111,    53,  3.12201e+02,  8.13684e+00, -6.97394e-01, -7.05386e-02,  2.65970e+01,  5.00242e+01,
   111,    80, -3.11883e+02, -8.13684e+00,  6.97394e-01,  7.05386e-02,  1.53334e+00,  2.75457e+02,
   112,    80,  2.60919e+02,  3.94359e+00,  8.54837e-02,  3.38273e-04, -5.39918e+00,  2.25538e+02,
   112,    81, -2.60601e+02, -3.94359e+00, -8.54837e-02, -3.38273e-04,  2.15673e+00, -6.80037e+01,
   113,    81,  2.60601e+02,  3.94360e+00,  8.54819e-02,  3.38272e-04, -2.15672e+00,  6.80031e+01,
   113,    84, -2.59965e+02, -3.94360e+00, -8.54819e-02, -3.38272e-04, -4.38447e+00,  2.47860e+02,
   114,    84,  2.08829e+02,  4.40126e+00, -3.65686e-02,  3.72788e-03,  9.46204e-01,  2.65131e+02,
   114,    85, -2.08511e+02, -4.40126e+00,  3.65686e-02, -3.72788e-03,  6.75844e-01, -8.94648e+01,
   115,    85,  2.08511e+02,  4.40128e+00, -3.65707e-02,  3.72788e-03, -6.75859e-01,  8.94642e+01,
   115,    88, -2.07875e+02, -4.40128e+00,  3.65707e-02, -3.72788e-03,  3.86847e+00,  2.63150e+02,
   116,    88,  1.56674e+02,  4.17540e+00,  8.71371e-02,  1.12397e-02, -5.92808e+00,  2.60483e+02,
   116,    89, -1.56356e+02, -4.17540e+00, -8.71371e-02, -1.12397e-02,  2.48335e+00, -9.37418e+01,
   117,    89,  1.56356e+02,  4.17543e+00,  8.71372e-02,  1.12397e-02, -2.48335e+00,  9.37413e+01,
   117,    92, -1.55720e+02, -4.17543e+00, -8.71372e-02, -1.12397e-02, -4.44810e+00,  2.40935e+02,
   118,    92,  1.04433e+02,  5.02287e+00,  1.34344e-02,  3.09185e-03,  1.51662e+00,  2.93539e+02,
   118,    93, -1.04115e+02, -5.02287e+00, -1.34344e-02, -3.09185e-03, -2.01798e+00, -9.25023e+01,
   119,    93,  1.04115e+02,  5.02290e+00,  1.34312e-02,  3.09185e-03,  2.01800e+00,  9.25016e+01,
   119,    96, -1.03479e+02, -5.02290e+00, -1.34312e-02, -3.09185e-03, -2.97518e+00,  3.10101e+02,
   120,    96,  5.22167e+01,  5.97785e+00, -9.52064e-03, -1.19546e-01,  1.17914e+01,  2.24250e+02,
   120,    97, -5.18987e+01, -5.97785e+00,  9.52064e-03,  1.19546e-01, -1.13512e+01,  1.47063e+01,
   121,    97,  5.18987e+01,  5.97777e+00, -9.53416e-03, -1.19545e-01,  1.13513e+01, -1.47079e+01,
   121,   100, -5.12625e+01, -5.97777e+00,  9.53416e-03,  1.19545e-01, -1.03545e+01,  4.91636e+02,
   122,    54,  3.11853e+02,  8.08143e+00, -1.65465e+00, -1.11561e-01,  4.08533e+01, -1.26172e+02,
   122,    79, -3.11694e+02, -8.08143e+00,  1.65465e+00,  1.11561e-01, -7.61878e+00,  2.87637e+02,
   123,    79,  2.60938e+02,  3.80044e+00,  9.55995e-02,  1.62738e-03, -6.19620e+00,  2.12874e+02,
   123,    82, -2.60302e+02, -3.80044e+00, -9.55995e-02, -1.62738e-03, -1.17049e+00,  9.19341e+01,
   124,    82,  2.60302e+02,  3.80041e+00,  9.56016e-02,  1.62738e-03,  1.17050e+00, -9.19345e+01,
   124,    83, -2.59984e+02, -3.80041e+00, -9.56016e-02, -1.62738e-03, -4.85588e+00,  2.43263e+02,
   125,    83,  2.08830e+02,  4.42734e+00, -1.57814e-01, -8.46554e-04,  1.06429e+01,  2.67813e+02,
   125,    86, -2.08194e+02, -4.42734e+00,  1.57814e-01,  8.46554e-04,  2.45797e+00,  8.68384e+01,
   126,    86,  2.08194e+02,  4.42732e+00, -1.57809e-01, -8.46553e-04, -2.45800e+00, -8.68390e+01,
   126,    87, -2.07876e+02, -4.42732e+00,  1.57809e-01,  8.46553e-04,  9.00215e+00,  2.63586e+02,
   127,    87,  1.56693e+02,  4.25920e+00,  7.37715e-02, -3.50053e-03, -9.04037e+00,  2.59475e+02,
   127,    90, -1.56057e+02, -4.25920e+00, -7.37715e-02,  3.50053e-03,  3.24744e+00,  8.16474e+01,
   128,    90,  1.56057e+02,  4.25918e+00,  7.37745e-02, -3.50052e-03, -3.24740e+00, -8.16480e+01,
   128,    91, -1.55739e+02, -4.25918e+00, -7.37745e-02,  3.50052e-03,  2.84275e-01,  2.51821e+02,
   129,    91,  1.04493e+02,  4.58514e+00,  3.34363e-01, -1.96061e-02, -6.13933e+00,  2.80219e+02,
   129,    94, -1.03857e+02, -4.58514e+00, -3.34363e-01,  1.96061e-02, -2.06090e+01,  8.71946e+01,
   130,    94,  1.03857e+02,  4.58512e+00,  3.34356e-01, -1.96060e-02,  2.06090e+01, -8.71953e+01,
   130,    95, -1.03538e+02, -4.58512e+00, -3.34356e-01,  1.96060e-02, -3.38140e+01,  2.70630e+02,
   131,    95,  5.21630e+01,  6.41799e+00, -6.30258e-01,  1.08964e-02,  3.90167e+01,  2.70291e+02,
   131,    98, -5.15268e+01, -6.41799e+00,  6.30258e-01, -1.08964e-02,  1.18540e+01,  2.43185e+02,
   132,    98,  5.15268e+01,  6.41792e+00, -6.30238e-01,  1.08963e-02, -1.18541e+01, -2.43185e+02,
   132,    99, -5.12087e+01, -6.41792e+00,  6.30238e-01, -1.08963e-02,  3.72691e+01,  4.99104e+02,
   133,    57, -3.58501e-01, -5.18204e-03,  5.78613e+00, -4.74406e-01, -1.17852e+02, -3.75767e-01,
   133,    58,  3.58501e-01,  5.18204e-03,  6.89646e+00,  4.74406e-01,  1.84478e+02, -2.45837e-01,
   134,    61,  3.73086e+00,  1.50071e-03,  6.87846e+00,  1.20924e-01, -1.85289e+02, -7.82246e-02,
   134,    62, -3.73086e+00, -1.50071e-03,  5.80414e+00, -1.20924e-01,  1.20668e+02,  2.57739e-01,
   135,    65,  5.38098e+00,  1.54585e-03,  7.88354e+00, -1.95146e-02, -2.45452e+02, -5.72677e-02,
   135,    66, -5.38098e+00, -1.54585e-03,  4.79906e+00,  1.95146e-02,  6.00347e+01,  2.42330e-01,
   136,    69,  4.87358e+00, -1.78549e-03,  8.54968e+00,  7.80405e-02, -2.86638e+02, -9.19194e-02,
   136,    70, -4.87358e+00,  1.78549e-03,  4.13292e+00, -7.80405e-02,  2.12391e+01, -1.22587e-01,
   137,    73,  1.01200e+01,  8.41678e-03,  9.45896e+00, -2.84076e-01, -3.34300e+02,  8.15049e-01,
   137,    74, -1.01200e+01, -8.41678e-03,  3.22363e+00,  2.84076e-01, -4.07439e+01,  2.12730e-01,
   138,    77,  3.37662e+00,  1.07264e-02,  7.17819e+00,  1.49031e+00, -2.35026e+02, -7.55734e-01,
   138,    78, -3.37662e+00, -1.07264e-02,  5.50440e+00, -1.49031e+00,  1.34273e+02,  2.03408e+00,
   139,    59, -1.00117e-01, -1.74081e-02,  7.46751e+00, -2.06046e-02, -2.26190e+02, -5.41956e-01,
   139,    60,  1.00117e-01,  1.74081e-02,  5.21508e+00,  2.06046e-02,  9.10430e+01, -1.54708e+00,
   140,    63, -5.93997e-01, -9.34422e-03,  6.65684e+00, -1.92735e-02, -1.70652e+02,  4.86346e-02,
   140,    64,  5.93997e-01,  9.34422e-03,  6.02575e+00,  1.92735e-02,  1.32770e+02, -1.17084e+00,
   141,    67, -5.70916e-01, -1.93850e-03,  6.14607e+00, -1.54730e-02, -1.43085e+02,  5.35089e-01,
   141,    68,  5.70916e-01,  1.93850e-03,  6.53653e+00,  1.54730e-02,  1.66492e+02, -7.68797e-01,
   142,    71,  1.07140e+00, -4.89082e-03,  6.08434e+00, -8.04842e-03, -1.30969e+02,  4.59639e-01,
   142,    72, -1.07140e+00,  4.89082e-03,  6.59825e+00,  8.04842e-03,  1.61848e+02, -1.04455e+00,
   143,    75,  7.96235e-01,  2.05333e-03,  8.28176e+00, -3.90805e-02, -2.99921e+02,  8.87768e-01,
