" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example C: a tetrahedral frame - static and dynamic analysis (in  kip)               "
" Sun Nov  1 22:45:12 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 37 , 135  , 157  
 Last Row , 1 , 34 , 132 , 152 , 252 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,      8.47584e-05, -2.15617e-03, -3.32889e-03,
     2,  1.69815e-01, -9.03586e-02, -4.80406e-02, -1.39893e-03,  6.05982e-04, -4.78752e-03,
     3,    0.0,        0.0,        0.0,     -8.93388e-04, -6.74000e-04, -2.60327e-03,
     4, -6.55601e-02, -5.20460e-01,  2.01810e-01, -3.17420e-03, -7.93004e-04, -2.71845e-03,
     5,  9.65873e-02, -5.55052e-01, -1.12018e-01, -3.41665e-03,  1.12460e-04, -2.26227e-03,
     6, -2.83419e-03, -2.26473e-01,  5.42664e-02, -2.67660e-03, -3.06864e-04, -2.04851e-03,
     7, -2.56409e-02, -6.67433e-01,  2.30696e-01, -3.06381e-03, -2.25121e-04, -6.34711e-04,
     8,  2.28610e-02, -6.66269e-01, -7.27481e-02, -3.10507e-03, -1.88365e-04, -6.09571e-04,
    15,     6,  1.97731e+01,  2.14428e-01,  2.80683e-01,  1.40586e+00, -7.54356e+00, -6.79430e+01,
    15,     9, -1.97731e+01, -2.14428e-01,  2.85779e-01, -1.40586e+00,  8.29992e+00,  9.21420e+01,
    16,     4, -1.84645e+01, -1.36869e-01,  5.27653e-01, -6.65875e+00, -3.82881e+01, -5.59802e+01,
    16,     9,  1.87477e+01,  1.36869e-01, -2.10991e-01,  6.65875e+00, -1.39001e+01,  3.75290e+01,
    17,     5,  7.58153e+00, -9.85042e-02, -2.54091e-01, -5.74346e+00,  2.89843e+01, -3.88390e+01,
    17,     9, -7.29830e+00,  9.85042e-02,  5.70753e-01,  5.74346e+00,  3.48176e+01,  2.31466e+01,
    18,     4,  1.66425e+02, -1.83232e+00,  1.90704e-01, -1.93707e+00, -2.44716e+01, -1.98136e+02,
    18,     8, -1.66425e+02,  1.83232e+00,  6.10395e-01,  1.93707e+00,  8.45496e+00, -3.34288e+01,
    19,     7, -3.37405e+00, -8.85688e-01, -1.38032e-02, -2.11349e-01,  4.72471e+00, -4.58250e+01,
    19,     8,  3.37405e+00,  8.85688e-01,  2.97034e-01,  2.11349e-01,  1.18410e+01, -4.29074e+01,
    20,     8, -4.91533e+00, -1.02170e+00,  5.64925e-02,  2.35620e-01, -6.15161e+00, -5.55644e+01,
    20,     9,  5.19856e+00,  1.02170e+00,  8.51231e-02, -2.35620e-01,  6.04875e+00, -5.88118e+01,
    21,     7,  1.58798e+00,  3.73782e-01,  2.02274e-01,  6.98524e-02, -2.54983e+00,  2.29575e+01,
    21,     9, -1.02152e+00, -3.73782e-01,  8.09573e-02, -6.98524e-02, -4.67205e+00,  1.88579e+01,
    22,     7, -1.16278e+02,  1.67158e+00, -9.37546e-01,  1.53762e+00,  3.80428e+01, -2.02414e+01,
    22,    10,  1.16278e+02, -1.67158e+00,  1.22078e+00, -1.53762e+00,  6.58732e+01,  1.87256e+02,
    23,     8,  3.25930e+02,  5.95099e+01,  4.54793e-01,  1.98630e+00, -1.71929e+01,  1.04076e+03,
    23,    11, -3.25930e+02,  5.04901e+01, -1.71561e-01, -1.98630e+00, -1.12420e+01, -5.77796e+02,
    24,     9, -4.16746e-01, -5.90771e-01, -5.27264e-01,  9.51649e-01,  2.73339e+01, -1.04718e+02,
    24,    12,  4.16746e-01,  5.90771e-01,  1.09373e+00, -9.51649e-01,  5.37032e+01,  4.56442e+01,
    25,     9,  1.70891e+01,  1.38904e-01, -1.03555e-01,  6.07574e+00,  1.51724e+01, -2.51191e+01,
    25,    10, -1.73723e+01, -1.38904e-01,  4.20217e-01, -6.07574e+00,  2.82607e+01,  5.04619e+01,
    26,     8,  8.71258e+00,  1.03835e+00,  4.64664e-02,  1.65299e+00,  5.85746e+00,  2.50885e+00,
    26,    10, -8.71258e+00, -1.03835e+00,  3.54083e-01, -1.65299e+00,  1.88378e+01,  1.44402e+02,
    27,     8,  2.61942e+00,  2.76764e-01,  9.90113e-03, -2.85580e+00,  1.03074e+01, -1.81437e+01,
    27,    12, -2.05296e+00, -2.76764e-01,  6.23423e-01,  2.85580e+00,  3.62787e+01,  5.90453e+01,
    28,    10,  9.95623e+01,  1.32294e+00, -5.18217e-01,  1.87105e+00,  1.08926e+01,  4.90641e+01,
    28,    11, -9.95623e+01, -1.32294e+00,  8.01448e-01, -1.87105e+00,  2.23344e+01,  7.28771e+01,
    29,    11, -1.98508e+00, -1.75742e+00, -4.17920e-01,  3.82620e+00,  1.61445e+01, -9.39897e+01,
    29,    12,  2.26832e+00,  1.75742e+00,  5.59536e-01, -3.82620e+00,  3.76766e+01, -1.02318e+02,
    30,    10,  3.23655e+00,  4.91666e-01, -1.42420e-01,  2.41627e+00,  1.90648e+01,  3.58979e+01,
    30,    12, -2.67009e+00, -4.91666e-01,  4.25651e-01, -2.41627e+00,  1.16659e+01,  1.90111e+01,
    31,    10,  1.75055e+01, -2.99247e+00,  3.32521e-01, -8.73843e+00, -5.29365e+01, -2.73353e+02,
    31,    13, -1.75055e+01,  2.99247e+00, -4.92894e-02,  8.73843e+00,  3.22354e+01, -3.05226e+01,
    32,    11,  3.22809e+02,  5.07558e+01, -1.70948e+00, -1.02563e+01,  8.98064e+01,  5.65851e+02,
    32,    14, -3.22809e+02,  5.92442e+01,  1.99271e+00,  1.02563e+01,  1.14880e+02, -1.08620e+03,
    33,    12, -8.01676e-01,  8.77160e-01, -2.70808e-01, -7.97983e+00,  5.08836e+00, -4.87156e+01,
    33,    15,  8.01676e-01, -8.77160e-01,  8.37271e-01,  7.97983e+00,  5.03345e+01,  1.36535e+02,
    34,    10, -2.56643e+01, -2.60997e-01,  4.57175e-01, -7.69871e+00, -1.84807e+01, -2.08143e+00,
    34,    15,  2.59476e+01,  2.60997e-01, -1.40513e-01,  7.69871e+00, -1.98284e+01, -2.66823e+01,
    35,    11,  5.13129e+00, -3.75964e-01, -5.08788e-01, -5.64304e+00,  1.63498e+01, -2.48992e+01,
    35,    15, -4.84806e+00,  3.75964e-01,  8.25450e-01,  5.64304e+00,  8.47314e+01, -3.37974e+01,
    36,    10, -1.37838e+02, -1.48648e+00,  6.54133e-01, -4.96164e+00,  1.62079e+01, -1.60562e+02,
    36,    14,  1.37838e+02,  1.48648e+00,  1.46966e-01,  4.96164e+00, -1.50801e+01, -3.05664e+00,
    37,    13,  4.51400e+00,  6.51096e+00,  2.14412e-01,  7.66313e+00, -2.20798e+00,  3.39657e+02,
    37,    14, -4.51400e+00, -6.51096e+00,  6.88192e-02, -7.66313e+00, -5.86771e+00,  3.10494e+02,
    38,    14, -1.17637e+00, -8.43328e-01, -1.66079e-01,  4.54931e+00,  1.26225e+01, -5.25699e+01,
    38,    15,  1.45960e+00,  8.43328e-01,  3.07695e-01, -4.54931e+00,  1.36013e+01, -4.14603e+01,
    39,    13, -1.21113e+00,  3.96901e-01,  1.35889e-01,  6.51163e+00,  7.52136e-01,  6.23546e+00,
    39,    15,  1.77759e+00, -3.96901e-01,  1.47342e-01, -6.51163e+00,  1.80783e-01,  3.81611e+01,
