" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example D: dynamic properties of an unrestrained frame with a triangular section               "
" Sun Nov  1 22:45:12 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 43 , 105  , 133  
 Last Row , 1 , 40 , 102 , 128 , 192 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     4,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     5,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     6,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     7,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     8,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     9,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    10,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    11,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    12,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    13,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
    16,    14,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    17,    14,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    17,    15,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    18,    15,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    18,    10,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    19,    10,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    19,    16,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    20,    12,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    20,    17,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    21,    14,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    21,    18,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    22,    16,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    22,    19,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    23,    17,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    23,    21,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    24,    18,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    24,    23,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    25,    19,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    25,    20,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    26,    20,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    26,    21,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    27,    21,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    27,    22,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    28,    22,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    28,    23,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    29,    23,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    29,    24,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    30,    24,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
    30,    19,      0.0,        0.0,       0.0,       0.0,       0.0,       0.0, 
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     2,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     3,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     4,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     5,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     8,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     9,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    10,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    11,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    13,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    14,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    15,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    16,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    17,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    18,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    19,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    20,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    21,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    22,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    23,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    24,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:",      -nan
