" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example G: a building with a set-back (units: in  kip)               "
" Sat May 17 15:28:09 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 34 , 84  
 Last Row , 1 , 31 , 81 , 98  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     4,  6.66558e-04,  5.08492e-01, -2.25624e-02, -1.05557e-02,  1.34416e-03,  1.66456e-05,
    18,     9,  8.57292e+00, -9.85631e-02,  3.36711e+02, -1.34713e+02, -1.41010e+04, -8.56799e+00,
    18,     7, -8.57292e+00,  9.85631e-02, -4.50570e+01,  1.34713e+02, -9.19848e+03, -3.47334e+00,
    19,    10, -1.13157e+01,      0.0,   2.38932e+02,      0.0,  -8.33184e+03, -1.56863e+00,
    19,    11,  1.13157e+01,      0.0,   2.38932e+02,      0.0,   8.33184e+03,  1.56863e+00,
    20,    11,  3.07003e+00, -9.90500e-02, -9.50544e+01,  2.37245e+02,  1.22052e+04, -4.76339e+00,
    20,    12, -3.07003e+00,  9.90500e-02,  3.86708e+02, -2.37245e+02,  1.71976e+04, -7.32986e+00,
    21,    12,  3.07003e+00,  9.90500e-02,  3.86708e+02, -2.37245e+02, -1.71976e+04,  7.32986e+00,
    21,    10, -3.07003e+00, -9.90500e-02, -9.50544e+01,  2.37245e+02, -1.22052e+04,  4.76339e+00,
    22,    13,  6.54269e+01,      0.0,   2.38932e+02,      0.0,  -7.73870e+03,  2.32935e+01,
    22,    14, -6.54269e+01,      0.0,   2.38932e+02,      0.0,   7.73870e+03, -2.32935e+01,
    23,    14, -8.30305e+01,  7.44542e-01, -3.35906e+01,  4.00220e+02,  9.63741e+03,  2.57751e+01,
    23,    15,  8.30305e+01, -7.44542e-01,  3.25245e+02, -4.00220e+02,  1.22785e+04,  6.43666e+01,
