" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example I: a triangular tower (kip  in)               "
" Sat May 17 15:28:16 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 34 , 84  
 Last Row , 1 , 31 , 81 , 98  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     2,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     3,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
     4,  5.24935e-04,  2.64823e+00, -2.25941e-02, -5.62960e-02,  5.69760e-04, -5.24388e-05,
    18,     9,  6.97713e+00, -1.10309e-01,  4.88514e+02, -2.71274e+02, -2.36122e+04, -9.56599e+00,
    18,     7, -6.97778e+00,  1.09382e-01, -2.00317e+02,  2.71274e+02, -1.84253e+04, -3.86920e+00,
    19,    10,  1.42757e+01,  9.27355e-04,  2.36100e+02,      0.0,  -9.22523e+03,  1.20017e+01,
    19,    11, -1.42757e+01,  9.27365e-04,  2.36100e+02,      0.0,   9.22523e+03, -1.20017e+01,
    20,    11, -5.95364e+01,  3.58767e-01, -2.64130e+02,  4.21120e+02,  2.21969e+04,  1.16052e+01,
    20,    12,  5.95370e+01, -3.59694e-01,  5.52327e+02, -4.21120e+02,  2.76808e+04,  3.14774e+01,
    21,    12, -5.95370e+01, -3.59694e-01,  5.52327e+02, -4.21120e+02, -2.76808e+04, -3.14774e+01,
    21,    10,  5.95364e+01,  3.58767e-01, -2.64130e+02,  4.21120e+02, -2.21969e+04, -1.16052e+01,
    22,    13,  6.30239e+01,  9.27328e-04,  2.36100e+02,      0.0,  -8.86908e+03,  2.87821e+01,
    22,    14, -6.30239e+01,  9.27391e-04,  2.36100e+02,      0.0,   8.86908e+03, -2.87821e+01,
    23,    14, -1.20416e+02,  9.29986e-01, -1.29468e+02,  6.99596e+02,  1.53989e+04,  3.04306e+01,
    23,    15,  1.20417e+02, -9.30913e-01,  4.17665e+02, -6.99596e+02,  1.81069e+04,  7.92894e+01,
    24,    15, -1.20417e+02, -9.30913e-01,  4.17665e+02, -6.99596e+02, -1.81069e+04, -7.92894e+01,
    24,    13,  1.20416e+02,  9.29985e-01, -1.29468e+02,  6.99596e+02, -1.53989e+04, -3.04306e+01,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1,  4.80592e+00, -7.61855e+01,  2.82144e+02,  1.03451e+04,  1.22085e+02,  1.24450e+00,
     2, -4.80592e+00, -7.61855e+01,  2.82143e+02,  1.03451e+04, -1.22085e+02, -1.24450e+00,
     3, -3.35628e-07, -4.75983e+01,  3.63009e+03,  1.13209e+04,  2.03118e-05,  5.50611e-07,
     4,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     5,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     8,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     9,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    10,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    11,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    13,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    14,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    15,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 1.389e-07
