    18,    36, -1.05412e+04,  1.06544e+02,  7.79127e+01,  1.64731e+01,  6.41799e+04, -8.31435e+04,
    19,     1, -1.80234e+01,      0.0,   2.95187e+02, -1.17876e+03, -1.30050e+04,      0.0, 
    19,     2,  1.80234e+01,      0.0,  -2.49884e+01,  1.17876e+03, -1.10082e+04,      0.0, 
    20,     2, -4.30502e+01,      0.0,   1.05620e+03, -3.66946e+00,  5.85738e+03,      0.0, 
    20,     3,  4.30502e+01,      0.0,   1.10539e+03,  3.66946e+00,  5.31678e+04,      0.0, 
    21,     3, -6.78574e+01,      0.0,   6.40813e+01,  1.23715e+03, -3.21320e+04,      0.0, 
    21,     4,  6.78574e+01,      0.0,   2.06117e+02, -1.23715e+03,  4.27846e+04,      0.0, 
    22,     5, -4.55264e+01,      0.0,   1.33995e+03,  1.82387e+01, -1.80578e+04,      0.0, 
    22,     6,  4.55264e+01,      0.0,   1.10386e+01, -1.82387e+01, -8.78960e+05,      0.0, 
    23,     6, -4.55264e+01,      0.0,  -1.10386e+01,  1.82387e+01,  8.78960e+05,      0.0, 
    23,     7,  4.55264e+01,      0.0,   1.36203e+03, -1.82387e+01,  4.78620e+04,      0.0, 
    24,     8, -1.80475e+01,      0.0,   2.87491e+02,  1.17782e+03, -1.31756e+04,      0.0, 
    24,     9,  1.80475e+01,      0.0,  -1.72920e+01, -1.17782e+03, -9.68307e+03,      0.0, 
    25,     9, -4.30279e+01,      0.0,   1.06609e+03,  5.96666e-03,  4.33437e+03,      0.0, 
    25,    10,  4.30279e+01,      0.0,   1.09550e+03, -5.96666e-03,  3.09526e+04,      0.0, 
    26,    10, -6.82134e+01,      0.0,  -7.32294e+01, -1.17758e+03, -1.18304e+04,      0.0, 
    26,    11,  6.82134e+01,      0.0,   3.43428e+02,  1.17758e+03,  4.30796e+04,      0.0, 
    27,     1,      0.0,    8.19776e+00,  6.99288e+02, -2.71369e+02, -3.22995e+04,  6.96810e+03,
    27,     5,      0.0,   -8.19776e+00,  1.10204e+03,  2.71369e+02,  3.74636e+05,  6.96810e+03,
    28,     5,      0.0,   -8.32128e+00,  1.10206e+03,  2.64191e+02, -3.74637e+05, -7.07309e+03,
    28,     8,      0.0,    8.32128e+00,  6.99269e+02, -2.64191e+02,  3.22689e+04, -7.07309e+03,
    29,     4,      0.0,    8.28249e+00,  6.99326e+02,  2.84519e+02, -3.23504e+04,  7.04011e+03,
    29,     7,      0.0,   -8.28249e+00,  1.10200e+03, -2.84519e+02,  3.74622e+05,  7.04011e+03,
    30,     7,      0.0,   -8.40595e+00,  1.10201e+03, -2.68228e+02, -3.74622e+05, -7.14506e+03,
    30,    11,      0.0,    8.40595e+00,  6.99310e+02,  2.68228e+02,  3.23228e+04, -7.14506e+03,
    31,    16, -2.72845e+01, -1.02734e-01,  4.32283e+02,  5.05756e-02, -7.37967e+04, -1.49774e+02,
    31,    17,  2.72845e+01,  1.02734e-01,  4.70688e+02, -5.05756e-02,  1.27564e+05, -1.37880e+02,
    32,    18, -2.06104e+01,  1.57651e-02,  4.31901e+02,  1.89943e+01, -7.00369e+04,  2.19911e+01,
    32,    19,  2.06104e+01, -1.57651e-02,  1.95854e+01, -1.89943e+01, -2.18583e+05,  8.00274e-02,
    33,    19, -2.06104e+01,  1.57651e-02, -1.95854e+01,  1.89943e+01,  2.18583e+05, -8.00274e-02,
    33,    20,  2.06104e+01, -1.57651e-02,  4.71071e+02, -1.89943e+01,  1.24876e+05,  2.21512e+01,
    34,    21, -2.70751e+01,  1.23911e-01,  4.32267e+02, -2.66872e-02, -7.38467e+04,  1.79295e+02,
    34,    22,  2.70751e+01, -1.23911e-01,  4.70704e+02,  2.66872e-02,  1.27659e+05,  1.67658e+02,
    35,    16, -9.66594e+00,  2.17199e-01,  2.87192e+02,  1.73400e+01, -7.68845e+04,  1.47274e+02,
    35,    18,  9.66594e+00, -2.17199e-01,  3.14790e+02, -1.73400e+01,  1.01723e+05,  2.43683e+02,
    36,    18, -9.67054e+00, -2.45913e-01,  3.14808e+02, -1.71979e+01, -1.01733e+05, -2.65746e+02,
    36,    21,  9.67054e+00,  2.45913e-01,  2.87173e+02,  1.71979e+01,  7.68615e+04, -1.76895e+02,
    37,    17, -9.98426e+00,  1.93711e-01,  2.87373e+02, -1.83417e+01, -7.70205e+04,  1.35261e+02,
    37,    20,  9.98426e+00, -1.93711e-01,  3.14608e+02,  1.83417e+01,  1.01532e+05,  2.13418e+02,
    38,    20, -9.97812e+00, -2.22658e-01,  3.14590e+02,  1.81633e+01, -1.01522e+05, -2.35642e+02,
    38,    22,  9.97812e+00,  2.22658e-01,  2.87391e+02, -1.81633e+01,  7.70433e+04, -1.65141e+02,
    39,    23, -2.22235e+01, -1.20600e+00,  4.34623e+02,  4.65290e-02, -9.51206e+04, -1.68890e+03,
    39,    24,  2.22235e+01,  1.20600e+00,  4.68348e+02, -4.65290e-02,  1.42335e+05, -1.68790e+03,
    40,    25, -2.16710e+01,  5.25545e-03,  4.30348e+02,  1.07122e+01, -8.30059e+04,  7.36598e+00,
    40,    26,  2.16710e+01, -5.25545e-03,  2.11374e+01, -1.07122e+01, -2.03441e+05, -8.20718e-03,
    41,    26, -2.16710e+01,  5.25545e-03, -2.11374e+01,  1.07122e+01,  2.03441e+05,  8.20718e-03,
    41,    27,  2.16710e+01, -5.25545e-03,  4.72623e+02, -1.07122e+01,  1.42191e+05,  7.34957e+00,
    42,    28, -2.22450e+01,  1.21306e+00,  4.34613e+02, -3.85857e-02, -9.50996e+04,  1.69880e+03,
    42,    29,  2.22450e+01, -1.21306e+00,  4.68358e+02,  3.85857e-02,  1.42343e+05,  1.69777e+03,
    43,    23, -2.60570e+01,  2.35717e+00,  3.01040e+02,  6.57726e+00, -9.01177e+04,  1.67524e+03,
    43,    25,  2.60570e+01, -2.35717e+00,  3.00942e+02, -6.57726e+00,  9.00295e+04,  2.56763e+03,
    44,    25, -2.60542e+01, -2.36675e+00,  3.00947e+02, -6.60433e+00, -9.00321e+04, -2.57498e+03,
    44,    28,  2.60542e+01,  2.36675e+00,  3.01034e+02,  6.60433e+00,  9.01109e+04, -1.68512e+03,
    45,    24, -2.87449e+01,  2.35519e+00,  3.01477e+02, -1.62461e+01, -9.04863e+04,  1.67425e+03,
    45,    27,  2.87449e+01, -2.35519e+00,  3.00504e+02,  1.62461e+01,  8.96101e+04,  2.56506e+03,
    46,    27, -2.87479e+01, -2.36474e+00,  3.00499e+02,  1.62495e+01, -8.96075e+04, -2.57239e+03,
    46,    29,  2.87479e+01,  2.36474e+00,  3.01483e+02, -1.62495e+01,  9.04931e+04, -1.68410e+03,
    47,    30,  9.24107e+01, -7.17619e+00,  4.43708e+02,  1.17680e-01, -6.13820e+04, -1.00426e+04,
    47,    31, -9.24107e+01,  7.17619e+00,  4.59263e+02, -1.17680e-01,  8.31586e+04, -1.00507e+04,
    48,    32,  3.78833e+01,  2.24844e-03,  4.39654e+02,  3.11299e+00, -5.20734e+04,  3.14653e+00,
    48,    33, -3.78833e+01, -2.24844e-03,  1.18319e+01, -3.11299e+00, -2.47404e+05,  1.00969e-03,
    49,    33,  1.37883e+02,  2.24844e-03, -1.18319e+01,  3.11300e+00,  2.47404e+05, -1.00969e-03,
    49,    34, -1.37883e+02, -2.24844e-03,  4.63318e+02, -3.11300e+00,  8.52086e+04,  3.14779e+00,
    50,    35,  9.24128e+01,  7.17921e+00,  4.43706e+02, -1.14739e-01, -6.13795e+04,  1.00468e+04,
    50,    36, -9.24128e+01, -7.17921e+00,  4.59266e+02,  1.14739e-01,  8.31629e+04,  1.00549e+04,
    51,    30,  8.46841e+01,  1.41072e+01,  2.81510e+02,  1.23132e+01, -6.38500e+04,  1.00590e+04,
    51,    32, -8.46841e+01, -1.41072e+01,  3.20471e+02, -1.23132e+01,  9.89151e+04,  1.53346e+04,
    52,    32,  8.46862e+01, -1.41113e+01,  3.20472e+02, -1.23148e+01, -9.89152e+04, -1.53378e+04,
    52,    35, -8.46862e+01,  1.41113e+01,  2.81509e+02,  1.23148e+01,  6.38483e+04, -1.00632e+04,
    53,    31,  7.07354e+01,  1.41233e+01,  2.81946e+02, -2.15738e+01, -6.41780e+04,  1.00672e+04,
    53,    34, -7.07354e+01, -1.41233e+01,  3.20035e+02,  2.15738e+01,  9.84584e+04,  1.53554e+04,
    54,    34,  7.07333e+01, -1.41274e+01,  3.20034e+02,  2.15684e+01, -9.84583e+04, -1.53586e+04,
    54,    36, -7.07333e+01,  1.41274e+01,  2.81947e+02, -2.15684e+01,  6.41797e+04, -1.00714e+04,
    55,     2,  1.03121e+03,  2.41317e+01,  6.53802e-03,      0.0,  -1.17507e+03, -5.15062e+03,
    55,    12, -1.72769e+03, -2.41317e+01, -6.53802e-03,      0.0,   1.17172e+03,  1.93214e+04,
    56,     3,  1.16947e+03,  2.39122e+01,  5.75493e-03,      0.0,  -1.24080e+03,  2.10356e+04,
    56,    13, -1.86595e+03, -2.39122e+01, -5.75493e-03,      0.0,   1.23786e+03, -6.79527e+03,
    57,     9,  1.04880e+03,  2.40853e+01, -6.55321e-03,      0.0,   1.17780e+03, -5.34851e+03,
    57,    14, -1.74528e+03, -2.40853e+01,  6.55321e-03,      0.0,  -1.17444e+03,  1.95187e+04,
    58,    10,  1.02227e+03,  2.42905e+01, -6.55193e-03,      0.0,   1.17757e+03,  1.91221e+04,
    58,    15, -1.71875e+03, -2.42905e+01,  6.55193e-03,      0.0,  -1.17422e+03, -4.88175e+03,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1, -4.04762e+01,       0.0,   4.34497e+04,       0.0,        0.0,   6.96837e+03,
     2,  6.53802e-03,       0.0,        0.0,        0.0,        0.0,        0.0, 
     3,  5.75493e-03,       0.0,        0.0,        0.0,        0.0,        0.0, 
     4, -4.04912e+01,       0.0,   4.34494e+04,       0.0,        0.0,   7.04032e+03,
     5, -2.36106e-02,       0.0,   4.69933e+04,       0.0,        0.0,  -1.05038e+02,
     6,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     7,  2.22238e-02,       0.0,   4.71182e+04,       0.0,        0.0,  -1.05002e+02,
     8,  4.04453e+01,       0.0,   4.34419e+04,       0.0,        0.0,  -7.07343e+03,
     9, -6.55321e-03,       0.0,        0.0,        0.0,        0.0,        0.0, 
    10, -6.55193e-03,       0.0,        0.0,        0.0,        0.0,        0.0, 
    11,  4.05235e+01,       0.0,   4.35868e+04,       0.0,        0.0,  -7.14535e+03,
    12, -6.53802e-03, -2.50268e+01,  1.72769e+03,  1.93216e+04,  1.17174e+03,  0.00000e+00,
    13, -5.75493e-03, -2.48072e+01,  1.86595e+03, -6.79545e+03,  1.23787e+03,  0.00000e+00,
    14,  6.55321e-03, -2.49804e+01,  1.74528e+03,  1.95188e+04, -1.17446e+03,  0.00000e+00,
    15,  6.55193e-03, -2.51856e+01,  1.71875e+03, -4.88193e+03, -1.17423e+03,  0.00000e+00,
    16,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    17,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    18,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    19,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    20,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    21,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    22,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    23,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    24,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    25,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    26,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    27,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    28,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    29,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    30,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    31,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    32,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    33,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    34,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    35,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    36,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 2.409e-08
